Vendor ID,Vendor name,Service Id,Service Name
351,Split Sole Dance Academy,3537,Contemporary @ Marine Lines
352,Matunga Gujrati Club Ltd.,5208,Gym 
352,Matunga Gujrati Club Ltd.,5209,yoga
352,Matunga Gujrati Club Ltd.,5210,Zumba
357,YMCA Navi mumbai,11052,Swimming 
367,Soul Feet,4120,Dance
368,Rao Yoga,17428,Traditional Yoga
369,Sway Fitness,687,Zumba Classes
371,Dance Planet,4214,Dance
371,Dance Planet,4218,Dance all
372,Konbatto Martial Arts Academy,4252,karate
375,Ninad Center for Performing Arts,17429,Kathak
376,Ninad Center for Performing Arts,17431,Kathak
377,Parleshwar Gym,4274,gym workout
380,New Age Yoga Studios,3808,Yoga Classes 
380,New Age Yoga Studios,12810,Yoga Focus Event - Yoga Seminar
380,New Age Yoga Studios,12811,Yoga Focus Event - Surya Namaskar
380,New Age Yoga Studios,12812,Yoga Focus Event - Yoga zoo for Kids
380,New Age Yoga Studios,12813,Yoga Focus Event - Meditation
380,New Age Yoga Studios,12814,Yoga Focus Event - Yoga for diabetics
380,New Age Yoga Studios,12815,Yoga Focus Event - Hormonal Health
380,New Age Yoga Studios,12816,Yoga Focus Event - Senior Citizens
380,New Age Yoga Studios,12817,Yoga Focus Event - Personality development the yogic way
380,New Age Yoga Studios,12818,Yoga Focus Event - Kapalbhati
380,New Age Yoga Studios,12819,Yoga Focus Event - Pranayam
380,New Age Yoga Studios,12820,Yoga Focus Event - Yoga, Ayuved and support group for cancer
380,New Age Yoga Studios,12821,Yoga Focus Event - Yoga For Fitness
380,New Age Yoga Studios,14329,Meditation
380,New Age Yoga Studios,15812,Vinyasa Yoga
380,New Age Yoga Studios,15813,Residential Teacher Training Course for OCi Certificate
382,Inch Pinch Fitness Hub,699,Gym workout
382,Inch Pinch Fitness Hub,701,Power Yoga Classes
387,Bina Yoga Classes,17470,Yoga
388,Nityam Yoga Center,5515,Ashtanga Yoga
390,Radhe Krishna Holistic Yoga,4527,Power Yoga
396,Sudhachandran Natya Mayuri Dance Academy,5604,Dance
398,Swagat Dance Academy,4403,Bharatnatyam
400,Talwalkars,323,Gym workout
401,Talwalkars Goregaon West,16271,Gym Workout
401,Talwalkars Goregaon West,16272,Kilo Burner
401,Talwalkars Goregaon West,16273,Nutrition Counselling
402,Talwalkars Vasai,16337,Gym Workout
402,Talwalkars Vasai,16338,Kilo Burner
403,F.U.N- Fitness U and Nutrition,9924,Nutrition Counselling
408,Shorinjiryu Karate Do Renshinkan,847,Karate Class
410,Chinmay's Fitness Academy,4531,Karate
412,Xtreme Fight Federation,10190,MMA For Students
412,Xtreme Fight Federation,10191,MMA For Ladies
412,Xtreme Fight Federation,10192,MMA For Kids
414,Rajesh Thakkars Karate Academy,4027,Martial Arts
416,M J Academy Of Martial Arts,3815,Taekwondo
416,M J Academy Of Martial Arts,5589,Kick Boxing 
417,Amit Lalwanis Kick Boxing,99,Kickboxing & Muay Thai @ Charni road
417,Amit Lalwanis Kick Boxing,100,Kickboxing & Muay Thai @Khar
417,Amit Lalwanis Kick Boxing,102,Kickboxing & Muay Thai @ Sion East
417,Amit Lalwanis Kick Boxing,103,Kickboxing & Muay Thai @ Bandra West
417,Amit Lalwanis Kick Boxing,3794,Kickboxing & Muay Thai @ Juhu
417,Amit Lalwanis Kick Boxing,9563,Kickboxing Muaythai ( KIDS - 6 to 12 years )
417,Amit Lalwanis Kick Boxing,11595,Kickboxing & Muay Thai @ Andheri
417,Amit Lalwanis Kick Boxing,15239,Kickboxing and Muay Thai Camp for Kids (5 to 13 years) @ Bandra West
420,Yudanshu Kobujitsu Karate Doh Federation,5092,Mixed Martial Arts
421,Podar Judo Club,5096,Judo
424,JG's Fitness Centre,46,Gym Workout 
424,JG's Fitness Centre,47,Circuit / Interval Boot Camp Training
424,JG's Fitness Centre,48,Zumba
424,JG's Fitness Centre,49,Aerobics Hi-Lo
424,JG's Fitness Centre,50,Breathless Spin
424,JG's Fitness Centre,51,Step Aerobics
424,JG's Fitness Centre,52,Masala Bhangra
424,JG's Fitness Centre,53,Power Yoga & Movement 
424,JG's Fitness Centre,54,Pilates
424,JG's Fitness Centre,55,Spinning and Power Yoga
424,JG's Fitness Centre,56,Bollywood Cardio 
424,JG's Fitness Centre,57,Group X Training 
424,JG's Fitness Centre,3039,Weight Loss Program
424,JG's Fitness Centre,10055,Rehab Program
424,JG's Fitness Centre,10056,Spinning and Surya Namaskar
424,JG's Fitness Centre,10057,Spinning and Body Conditioning
424,JG's Fitness Centre,10058,Zumba and Bollywood
424,JG's Fitness Centre,10846,Dance fitness
424,JG's Fitness Centre,14195,Mat Pilates at The Core.
424,JG's Fitness Centre,14202,Athletic Conditioning And Interval Training at The Core.
424,JG's Fitness Centre,14210,Cardio Pilates at The Core.
424,JG's Fitness Centre,14211,Power Yoga And Pilates  at The Core.
424,JG's Fitness Centre,15787,Senior Fitness
424,JG's Fitness Centre,18016,Reformer Pilates At The Core
425,Ashish Rawani Home Yoga,4532,Dynamic yoga
426,Om Yog Sadna,4224,Yoga
427,Street Self Defense,5508,Basic Self Defence
427,Street Self Defense,16883,Street Fighting
428,Core Combat Martial Arts Institute,4395,Conditiong
430,Nrityalika Academy,5611,Dance
434,Shotokan Karate International Federation,4657,Karate
439,Shaolin Martial Arts Association Of India,11055,Martial Arts 
442,Baqar Nasser's Topspin,855,Spinning
442,Baqar Nasser's Topspin,18141,Spinning at YFC, Tardeo
448,Tanjai Kala Mandir,5052,Bharatanatyam
449,Nuage Hot Yoga,196,Hot Yoga Classes
450,Abstract Dance Academy,5054,Dance
451,Danzrzs Dance Academy,5057,Dance
452,Creative Roller Skating Club,17472,Roller Skating
453,JBS Roller Skating Club,17473,Roller Skating
459,Palms Water Club Swimming Pool,11057,Swimming
463,Dolphin Swimming Academy,11060,Swimming
471,Radheshyam Upadhyay,4487,Iyengar Yoga
480,Bal Mitra Gym,4231,Gym
484,J J Skaters,11088,Private group class skating
484,J J Skaters,11089,Skate School lessons 
